chain,draw,Ks,N0,P0,Qn,mu_max,sigma
0,0,0.06421710543960742,2393.2811500651637,10418.073601439428,2.8359028859389667e-09,0.6295262631941971,0.12805013184779038
0,1,0.08963559398782216,2483.1578994572124,9928.905837029195,2.782301308284183e-09,0.6473577398268261,0.11145283231182142
0,2,0.08058899082729465,2318.6147846263752,8262.8902196817,2.7793094967386905e-09,0.6770415503992837,0.11145283231182142
0,3,0.11686202247921901,2303.047927775256,8021.0009169716395,2.6440536481527565e-09,0.6999748558793392,0.13308231445598442
0,4,0.0576272913416569,2361.2048824417143,7983.921191417868,2.7500650002281268e-09,0.6921491476223602,0.13308231445598442
0,5,0.10376845483239748,2314.9751645284528,9001.079716904513,2.719297160186609e-09,0.705350234018665,0.18419567311882826
0,6,0.08283902810575809,2101.227343032342,9092.73797006384,2.5994109945561368e-09,0.6913103403078115,0.17550452259632848
0,7,0.08428862053814494,1903.6315510963482,10174.510972929198,2.2348398035237415e-09,0.6510829275198387,0.13148641281477078
0,8,0.09357320662678043,1833.8407718470207,11226.027514077943,2.2271869228131424e-09,0.6564497070566023,0.15073682753091694
0,9,0.0753840806891262,1894.8015356033957,11548.90108393881,2.19765414872464e-09,0.5991921577128975,0.15073682753091694
0,10,0.11191769745535128,1901.6299512408311,10949.992972830483,2.3568948743609774e-09,0.6249926973183028,0.15073682753091694
0,11,0.061468617975028644,1599.25202775464,9875.152541290372,2.105736409570526e-09,0.6276069284553148,0.13056661646161594
0,12,0.06031848442753368,1573.058883052337,8858.251124662102,1.9337670721506613e-09,0.6268601409609551,0.13976601162517574
0,13,0.11713419965572856,1532.5818402041818,8096.701300786594,1.6933765103616574e-09,0.7101991848998538,0.17449849270062956
0,14,0.09769809596730178,1580.2895724488112,9015.800133878818,1.7128604213631287e-09,0.6963611195675242,0.19264168999821815
0,15,0.11721887657481687,1325.9909538948123,8822.031879739394,1.8058394815301826e-09,0.6560145497021517,0.19264168999821815
0,16,0.05349900168089678,1297.0241662447877,10067.08521015319,1.4845450343481717e-09,0.6517023849670237,0.21820262468469812
0,17,0.08658076392149486,1392.761078429638,8635.176620201173,1.494341556057377e-09,0.6208751892331912,0.21820262468469812
0,18,0.09852505909647989,1395.5808700222258,9771.7559961181,1.7332501405248372e-09,0.6404424447112211,0.22815179239381345
0,19,0.1023353712695914,1255.0425235184023,9182.870468663155,1.4901703131451073e-09,0.6342001824693168,0.22641371209147682
0,20,0.11176165759602902,1207.4175144893964,9125.517670323674,1.5496896112753503e-09,0.6542195812270771,0.18567799471524724
0,21,0.09466530484858257,1144.1029344362844,8995.22810660627,1.2893910428695897e-09,0.6751490128224149,0.15419186137802923
0,22,0.08600553324674147,1142.888901633467,10106.87694467181,1.171546206077758e-09,0.6397823473914253,0.1512198805556768
0,23,0.08180219945419465,1241.97935935611,8464.424405846472,1.4314550045272143e-09,0.666170135505996,0.1474504106013485
0,24,0.11048305585674449,1189.508671128713,10528.682584994365,1.4278545277289577e-09,0.6453088940587235,0.1474504106013485
0,25,0.10586210996098257,1260.3086772678425,9686.44742198338,1.4549257002018494e-09,0.6369622042381536,0.1300774881528792
0,26,0.08940746862078401,1322.1515561808467,8482.080140459302,1.6312877736983661e-09,0.6726392806293842,0.10103152606100828
0,27,0.09938468808454023,1256.1919269693926,8172.428416693901,1.4651053054395805e-09,0.6848131309704031,0.1435473639880471
0,28,0.0931275380766153,1334.4282856603638,8355.44859363733,1.5838889350765147e-09,0.7066674098221861,0.14217014759930954
0,29,0.10451911114738177,1226.1243790344806,8444.431029848118,1.512286029553034e-09,0.6897391316995095,0.1715681549634973
0,30,0.12192818701161032,1236.3870849105151,9288.134940281567,1.5357345163142907e-09,0.6787796598999788,0.20045471047305732
0,31,0.11822099990853091,1567.0221200158958,9902.094913129451,1.6368789622005243e-09,0.6504811271116843,0.21186956336244273
0,32,0.05854450884418147,1447.856592041292,9802.402639654507,1.7111298371725074e-09,0.6438165497983765,0.20900809832627107
0,33,0.08025595031668689,1411.2162513249637,9714.778000096363,1.7376436959725032e-09,0.6476854624536085,0.1806634988137275
0,34,0.07061013097583577,1383.9556252366808,9122.063601100272,1.6452236581939003e-09,0.645418767155752,0.15336019392507313
0,35,0.10022111858712304,1440.3216508246653,8783.082316093207,1.5163994942139894e-09,0.663455598549919,0.15336019392507313
0,36,0.12100847784613047,1163.362045220136,9420.562218016647,1.5959487413919547e-09,0.700425098207425,0.23093089041028944
0,37,0.12187393826886551,967.1222561968987,8946.349252657581,1.1958229484281478e-09,0.6795398580913032,0.11833656519247783
0,38,0.1269372293996307,805.2195961969976,8636.44553651288,1.0445072391764998e-09,0.7055433588713174,0.10186629776088298
0,39,0.11622258928914224,797.906217361325,8021.914342794464,1.004858585842236e-09,0.708332532025056,0.13662879998278699
0,40,0.08152867730803236,719.2049271314946,8790.720693349123,8.968936806541414e-10,0.7003444169523843,0.12411373615917494
0,41,0.09415879748318703,691.0601894614189,8387.319587218422,8.938625081172013e-10,0.6719796886727877,0.2045631830621319
0,42,0.08104512231826182,650.9746011814234,8243.15670420446,7.385662940997031e-10,0.6820413429764444,0.1949372948347178
0,43,0.06039360893197416,584.40711147855,9476.007171993302,7.157492910020727e-10,0.6810082572315156,0.18424143132020468
0,44,0.05177683188704222,502.91784403302285,8461.838803227298,6.292389775366279e-10,0.6663219454860978,0.18769402224358445
0,45,0.07921175946916864,530.31811724853,8838.930253327575,5.986885775607934e-10,0.6905072199079314,0.17460933374461834
0,46,0.09317702783724678,600.0483656763735,8975.522792602193,6.787718616679259e-10,0.6687294685658773,0.1222210083336371
0,47,0.05594615979079212,613.5877714375245,9586.503361207355,7.247882555376845e-10,0.6795848522593334,0.11740172237390867
0,48,0.05125075181963178,678.4729612151455,9302.147838321584,7.661270623376688e-10,0.6455943558318027,0.1877684319645112
0,49,0.125595375183939,738.7488387099379,8995.110558237215,8.260409536802608e-10,0.6478714626125609,0.16388394131842546
0,50,0.050070449505404194,686.4103753985532,8488.226731218305,8.06883578049975e-10,0.6848135007139914,0.1415244371188028
0,51,0.050005507621070054,685.4308373196069,8948.922604424884,7.717427165163664e-10,0.6940021245315146,0.15353532878819032
0,52,0.1299749192111384,648.9703145405044,9266.094985931426,7.54447252075291e-10,0.6755840757881628,0.14157951523219844
0,53,0.05000285895664919,676.3719014490841,9024.589014566987,7.980471828642749e-10,0.6772318505918353,0.09020744622944041
0,54,0.12669705076214027,644.900211466683,9097.699159236541,8.129060810104647e-10,0.6708247419439012,0.17811185049095654
0,55,0.11940214674422432,568.5634053510646,9791.080681967745,7.14266405730023e-10,0.6637422880658151,0.14242199727637447
0,56,0.11902956388809319,561.5829800237111,9193.213826988309,7.245617976272121e-10,0.6611388196652522,0.1222725705549716
0,57,0.07282426382089133,591.6592997968955,8331.110647857737,6.576505661114995e-10,0.6782326226455229,0.1025983985466748
0,58,0.09645712416736575,580.4805267725003,8722.109477229285,6.984431902742342e-10,0.7068484250282232,0.18097781020956502
0,59,0.10494419009766195,480.39567888784126,8710.273726226427,6.062282468684126e-10,0.6822904639836006,0.10792371818883263
0,60,0.09191602108950331,416.60271066814465,9243.190915893572,5.078032458327402e-10,0.6813672112811188,0.16909575555213632
0,61,0.09707783157099233,410.34648381050584,9107.548366805264,5.301198000273816e-10,0.6835917694841006,0.19594093827974912
0,62,0.08733494978536793,417.9665251350087,9343.5927161805,5.208993021403924e-10,0.6774026898864561,0.08231992702729117
0,63,0.08952632906194068,424.950199099533,8927.52919955156,4.950215643021463e-10,0.6771617750661499,0.1203847091036556
0,64,0.06242005452946965,451.8146962783192,7801.5469604210075,5.407897640606638e-10,0.7006642797174026,0.2570657158187625
0,65,0.07600204312201542,420.57698220628777,8167.030598119735,5.019450809445204e-10,0.7091430011682451,0.1993472754762244
0,66,0.0974797905026262,485.25950637693813,8698.587393923197,5.775005469945599e-10,0.6641577903538249,0.1993472754762244
0,67,0.09502734805282378,374.9185503639078,9430.921631747655,4.99107642632199e-10,0.6427667955546313,0.19646762708274337
0,68,0.0695114023874349,450.24807248302807,8414.98620616978,4.714785882699362e-10,0.6885081293348873,0.1647085113576387
0,69,0.10123987017544184,388.11254227432835,9446.18166008109,4.6538889850531627e-10,0.68352083341605,0.15355445623106137
0,70,0.05532896948174643,402.4848657039985,9677.957447208608,4.512779577119567e-10,0.6525914642353675,0.16226269613022756
0,71,0.06794624379613944,465.6095136929844,8708.605897019768,5.016854561353096e-10,0.6485792612457434,0.16226269613022756
0,72,0.11522206070993185,442.86632691614903,8521.448805537071,5.177451554226609e-10,0.6908652850120773,0.1702458809909339
0,73,0.0861424164289064,399.9186592631349,9975.555088033852,5.278723581581729e-10,0.7009544690708421,0.1702458809909339
0,74,0.08272994082545061,429.0481730637843,10073.181878941805,4.280715524418421e-10,0.6090835885861833,0.18338184351227593
0,75,0.10751017617621818,412.9545369044007,9707.97294559084,4.963575804001586e-10,0.6084663658050511,0.17973667112119704
0,76,0.06707842198926978,425.178110484803,8600.74428314233,4.6060911984311836e-10,0.6989962741184568,0.19765598132047857
0,77,0.10006145696926169,381.1878638099748,8950.728660326808,4.641895186302927e-10,0.675906133690416,0.2464120451263545
0,78,0.0879231879475208,402.96456258340027,9131.244348295311,4.52510070507821e-10,0.6289161092003259,0.1253446960128932
0,79,0.0923043242385573,371.5854862708995,11239.390311705314,4.3524293714764566e-10,0.6380052159407572,0.2225453219523571
0,80,0.06918199188769016,342.5088507296646,8163.828215148843,4.0389282584746123e-10,0.6321325906806549,0.22749284927523825
0,81,0.12437295636268317,364.63657594608924,8435.833070238625,4.2545715502157074e-10,0.6657055902507819,0.22749284927523825
0,82,0.10205622096636614,376.28413584667203,8506.70132374922,3.724824074442446e-10,0.6840452243704489,0.19505614176636313
0,83,0.10754880148305901,345.4208941891424,8970.542497994158,4.661760490883704e-10,0.6930669298488139,0.19505614176636313
0,84,0.11553458255332415,282.92730141651987,8728.783547847574,3.647236734963973e-10,0.6504048974356464,0.19022993983383094
0,85,0.06624364597475924,250.4435173888337,8582.639586402502,3.068388888433126e-10,0.6502498876239091,0.1706548446746401
0,86,0.0733209487535037,261.4314144209543,8375.973664824036,2.8928067865374855e-10,0.7097757592772634,0.17339549524391573
0,87,0.10236908558759238,254.55847505774025,8727.663947178778,2.8640914457396483e-10,0.7024973587144502,0.14129462997905895
0,88,0.08936904030293694,253.9137724153143,8994.158754675484,2.8870619307536985e-10,0.6699140404411865,0.08424411152166131
0,89,0.09234336478977906,219.58331674306493,8295.573679001407,2.824388778448227e-10,0.7048203610291195,0.19669847450192163
0,90,0.08890776319485928,262.0499079731039,8270.073090757,2.702192409631709e-10,0.6937412652064012,0.18483463055426505
