chain,draw,Ks,Qn,mu_max,sigma
0,0,0.08446698307942233,7.069960750494105e-10,0.6829560522350816,0.1372700293363489
0,1,0.08399432938427762,7.222623928739465e-10,0.6602568886394875,0.1372700293363489
0,2,0.08583475504484445,6.714672650513116e-10,0.6824515197369662,0.15758930281337089
0,3,0.07654685902165154,7.065761335664927e-10,0.677971374605115,0.1786186384126866
0,4,0.1012258392088266,7.994500967538134e-10,0.726652345286949,0.1786186384126866
0,5,0.08026466861779281,8.416275829921446e-10,0.6531155995073185,0.1786186384126866
0,6,0.08117721236291356,6.917991117091752e-10,0.6734744260852957,0.15160150411835444
0,7,0.08361972745676573,6.28121786850363e-10,0.6652156734195775,0.13223634358584552
0,8,0.0898483746920054,7.800739098906163e-10,0.6895355683573043,0.13223634358584552
0,9,0.0924460352312865,6.729413377160765e-10,0.7057415090926726,0.16820724674195447
0,10,0.08948010689264442,7.388940041218334e-10,0.7323282876681397,0.19272511321255176
0,11,0.10927286435244513,7.914901390217039e-10,0.6718292836321494,0.2117947894206376
0,12,0.09757336451377557,6.283320617890906e-10,0.6833520358223141,0.2117947894206376
0,13,0.08363942925432251,6.395284922131088e-10,0.6989793558572625,0.197482271945007
0,14,0.08232355602957978,7.864878767851215e-10,0.6263052582113976,0.21329995842778768
0,15,0.06657001795386203,7.39596319791502e-10,0.6720059659929949,0.16258870068768408
0,16,0.06832474787219754,7.122873911054957e-10,0.6856770903460111,0.09620391719385694
0,17,0.09349361607335384,7.315930658051599e-10,0.7003326589369756,0.1521771878295699
0,18,0.07969739109918587,7.192448886723754e-10,0.669880048972705,0.15657729183351768
0,19,0.07354065488503003,6.819618508241443e-10,0.6774216101603111,0.10267434158783005
0,20,0.10953390821157956,7.193849113012074e-10,0.6615429757777237,0.1265835313316505
0,21,0.0769742961411255,7.460636401507604e-10,0.7059134403392551,0.11997998662020495
0,22,0.07583759567464163,7.433590897592111e-10,0.7013575901955359,0.12610007910195203
0,23,0.10068658195722126,7.113943762538067e-10,0.6636385698371229,0.12571422403601482
